team,alt_name,stadium,length,width
Arsenal,Arsenal,Emirates Stadium,105,68
Bournemouth,AFC Bournemouth,Dean Court,105,78
Chelsea,Chelsea,Stamford Bridge,103,67
Crystal Palace,Crystal Palace,Selhurst Park,100.58,67.67
Everton,Everton,Goodison Park,100.48,68
Hull City,Hull,KCOM Stadium,114,74
Leicester City,Leicester,King Power Stadium,102,67
Liverpool,Liverpool,Anfield,101,68
Manchester City,Man City,Etihad Stadium,105,68
Manchester United,Man United,Old Trafford,105,68
Middlesbrough,Middlesbrough,Riverside Stadium,105,69
Southampton,Southampton,St Mary's Stadium,105,68
Stoke City,Stoke,bet365 Stadium,105,68
Sunderland,Sunderland,Stadium of Light,105,68
Swansea City,Swansea,Liberty Stadium,105.16,67.67
Tottenham Hotspur,Tottenham,White Hart Lane,100,67
Watford,Watford,Vicarage Road,109.73,73.15
West Bromwich Albion,West Brom,The Hawthorns,105,68
West Ham United,West Ham,Olympic Stadium,105,68
Tromso,Tromsø IL,Alfheim Stadion,105,68
Brighton & Hove Albion,Brighton,Falmer Stadium,105,69
Huddersfield Town,Huddersfield,Kirklees Stadium,105,69
Burnley,Burnley,Turf Moor,105,68
Newcastle United,Newcastle,St James' Park,105,68
Ipswich Town,Ipswich,Portman Road,102,75
Nottingham Forest,Nott'm Forest,The City Ground,105,71
Sheffield Wednesday,Sheffield Weds,Hillsborough,106,69
Blackburn Rovers,Blackburn,Ewood Park,105,69
Millwall,Millwall,The Den,106,68
Leeds United,Leeds,Elland Road,105,68
Reading,Reading,Madjeski Stadium,105,68
Bristol City,Bristol City,Ashton Gate,105,68
Derby County,Derby,Pride Park,105,68
Aston Villa FC,Aston Villa,Villa Park,105,68
Wigan Athletic,Wigan,DW Stadium,105,68
Norwich City FC,Norwich,Carrow Road,104,68
Preston North End,Preston,Deepdale,101,69
Queens Park Rangers,QPR,Loftus Road,102,66
Rotherham United,Rotherham,New York Stadium,102,66
Brentford,Brentford,Griffin Park,100,67
Sheffield United,Sheffield United,Bramall Lane,102,65
Birmingham City,Birmingham,St Andrew's,100,66
Bolton Wanderers,Bolton,The Macron Stadium,100,66
Real Sociedad,Sociedad,anoeta stadium,105,68
Celta Vigo,Celta,balaidos,105,68
FC Barcelona,Barcelona,camp nou,105,68
Villarreal CF,Villarreal,estadio el madrigal,105,68
SD Eibar,Eibar,ipurua municipal stadium,103,65
Deportivo Alaves,Alaves,mendizorroza stadium,105,67
Sevilla,Sevilla,ramon sanchez pizjuan stadium,105,68
Espanyol,Espanol,rcde stadium,105,68
Athletic Bilbao,Ath Bilbao,san mames,105,68
Real Madrid,Real Madrid,santiago bernabeu,105,68
Valencia,Valencia,the mestalla,105,70
Atletico Madrid,Ath Madrid,wanda metropolitano,105,68
Real Betis,Betis,Estadio Benito Villamarín,107,64
Getafe,Getafe,Coliseum Alfonso Pérez,105,71
Girona,Girona,Estadi Montilivi,100,68
Levante,Levante,Estadi Ciutat de València,107,68
Real Valladolid,Valladolid,Estadio José Zorrilla,105,68
